No,Time,Interval(mi),Indoor Humidity(%),Indoor Temperature(°C),Outdoor Humidity(%),Outdoor Temperature(°C),Absolute Pressure(hPa),Wind(m/s),Gust(m/s),Direction,Relative Pressure(hPa),Dewpoint(°C),Windchill(°C),Hour Rainfall(mm),24 hour Rainfall(mm),Week Rainfall(mm),Month Rainfall(mm),Total Rainfall(mm),Wind Level(bft),Gust Level(bft)
64,29-12-2008 21:40,30,53,17.2,84,-3.3,1024.1,0,0,NW,1004.3,-5.6,-3.3,0,0,2.1,2.1,2.1,0,0
65,29-12-2008 22:10,30,53,18,86,-3.5,1024,0,0.3,W,1004.2,-5.5,-3.5,0,0,2.1,2.1,2.1,0,1
66,29-12-2008 22:40,30,53,18.1,87,-3.6,1024.3,0,0.3,N,1004.5,-5.5,-3.6,0,0,2.1,2.1,2.1,0,1
67,29-12-2008 23:10,30,53,18.3,86,-4.3,1024.5,0,0.7,N,1004.7,-6.3,-4.3,0,0,2.1,2.1,2.1,0,1
68,29-12-2008 23:40,30,52,18.2,86,-3.9,1024.3,0,0.3,NE,1004.5,-5.9,-3.9,0,0,2.1,2.1,2.1,0,1
69,30-12-2008 00:10,30,52,18,85,-4.5,1024.3,0,0,E,1004.5,-6.6,-4.5,0,0,2.1,2.1,2.1,0,0
70,30-12-2008 00:40,30,52,17.8,87,-4.7,1024.3,0,0.7,E,1004.5,-6.5,-4.7,0,0,2.1,2.1,2.1,0,1
71,30-12-2008 01:10,30,52,17.6,86,-5.1,1024,0,0.7,N,1004.2,-7.1,-5.1,0,0,2.1,2.1,2.1,0,1
72,30-12-2008 01:40,30,52,17.3,86,-5.2,1024.1,0,0,NE,1004.3,-7.2,-5.2,0,0,2.1,2.1,2.1,0,0
73,30-12-2008 02:10,30,52,17.1,86,-5.4,1024.1,0,0,NW,1004.3,-7.4,-5.4,0,0,2.1,2.1,2.1,0,0
74,30-12-2008 02:40,30,52,17,86,-5.5,1024.4,0,0.3,SW,1004.6,-7.5,-5.5,0,0,2.1,2.1,2.1,0,1
75,30-12-2008 03:10,30,52,16.8,87,-5.5,1024.6,0,0.3,N,1004.8,-7.3,-5.5,0,0,2.1,2.1,2.1,0,1
76,30-12-2008 03:40,30,52,16.6,85,-6,1024.8,0.3,0.7,NE,1005,-8.1,-6,0,0,2.1,2.1,2.1,1,1
77,30-12-2008 04:10,30,52,16.5,86,-5.4,1024.7,0,0.7,N,1004.9,-7.4,-5.4,0,0,2.1,2.1,2.1,0,1
78,30-12-2008 04:40,30,52,16.3,86,-5.9,1024.9,0,0.3,NE,1005.1,-7.9,-5.9,0,0,2.1,2.1,2.1,0,1
79,30-12-2008 05:10,30,51,16.2,86,-5.8,1024.7,0,0.7,N,1004.9,-7.8,-5.8,0,0,2.1,2.1,2.1,0,1
80,30-12-2008 05:40,30,52,16.1,86,-5.8,1024.6,0,0,N,1004.8,-7.8,-5.8,0,0,2.1,2.1,2.1,0,0
81,30-12-2008 06:10,30,51,15.9,86,-5.8,1024.5,0,0.3,N,1004.7,-7.8,-5.8,0,0,2.1,2.1,2.1,0,1
82,30-12-2008 06:40,30,51,15.7,86,-5.8,1024.7,0.3,1,N,1004.9,-7.8,-5.8,0,0,2.1,2.1,2.1,1,1
83,30-12-2008 07:10,30,51,15.5,86,-6.4,1024.7,0,0.7,N,1004.9,-8.4,-6.4,0,0,2.1,2.1,2.1,0,1
84,30-12-2008 07:40,30,52,15.4,84,-5.8,1024.7,0,0.3,N,1004.9,-8.1,-5.8,0,0,2.1,2.1,2.1,0,1
85,30-12-2008 08:10,30,52,15.6,84,-6.2,1024.9,0,0.3,N,1005.1,-8.5,-6.2,0,0,2.1,2.1,2.1,0,1
86,30-12-2008 08:40,30,52,15.9,85,-6.3,1025,0,0.3,N,1005.2,-8.4,-6.3,0,0,2.1,2.1,2.1,0,1
87,30-12-2008 09:10,30,51,16.2,85,-5.6,1025,0,0.7,N,1005.2,-7.7,-5.6,0,0,2.1,2.1,2.1,0,1
88,30-12-2008 09:40,30,51,16.2,82,-4.5,1025,0.3,0.7,NE,1005.2,-7.1,-4.5,0,0,2.1,2.1,2.1,1,1
89,30-12-2008 10:10,30,51,16.2,78,-2.3,1025.1,0,0,NE,1005.3,-5.6,-2.3,0,0,2.1,2.1,2.1,0,0
90,30-12-2008 10:40,30,51,16.4,75,-1.1,1025.2,0,0.7,N,1005.4,-5,-1.1,0,0,2.1,2.1,2.1,0,1
91,30-12-2008 11:10,30,51,16.4,69,0.5,1025.2,0,0.7,N,1005.4,-4.5,0.5,0,0,2.1,2.1,2.1,0,1
92,30-12-2008 11:40,30,52,16.6,66,1.8,1025.1,0,0.7,E,1005.3,-3.9,1.8,0,0,2.1,2.1,2.1,0,1
93,30-12-2008 12:10,30,51,16.5,63,2.7,1024.9,0.3,1,NE,1005.1,-3.6,2.7,0,0,2.1,2.1,2.1,1,1
94,30-12-2008 12:40,30,51,16.3,65,2.2,1024.7,0,1.4,N,1004.9,-3.7,2.2,0,0,2.1,2.1,2.1,0,1
95,30-12-2008 13:10,30,51,16,70,1.7,1024.8,0,0.7,N,1005,-3.2,1.7,0,0,2.1,2.1,2.1,0,1
96,30-12-2008 13:40,30,51,15.7,72,1.2,1024.5,0.3,1,NE,1004.7,-3.3,1.2,0,0,2.1,2.1,2.1,1,1
97,30-12-2008 13:55,30,52,15.7,72,1.4,1024.4,0,0,N,1004.6,-3.1,1.4,0,0,2.1,2.1,2.1,0,0
98,30-12-2008 14:25,30,52,16.2,73,0.9,1024.1,0,0,N,1004.3,-3.4,0.9,0,0,2.1,2.1,2.1,0,0
99,30-12-2008 14:55,30,51,16.7,75,0.4,1024.1,0.3,0.7,SW,1004.3,-3.5,0.4,0,0,2.1,2.1,2.1,1,1
100,30-12-2008 15:25,30,50,17,77,-0.5,1024.2,0.3,0.7,SW,1004.4,-4,-0.5,0,0,2.1,2.1,2.1,1,1
101,30-12-2008 15:55,30,49,17.1,79,-1.2,1024.3,0,0,N,1004.5,-4.4,-1.2,0,0,2.1,2.1,2.1,0,0
102,30-12-2008 16:25,30,49,17.1,81,-1.8,1024.4,0,0,N,1004.6,-4.6,-1.8,0,0,2.1,2.1,2.1,0,0
103,30-12-2008 16:55,30,49,17,86,-2.6,1024,0,0,W,1004.2,-4.6,-2.6,0,0,2.1,2.1,2.1,0,0
104,30-12-2008 17:25,30,49,17,84,-2.6,1024.2,0,0.3,NE,1004.4,-4.9,-2.6,0,0,2.1,2.1,2.1,0,1
105,30-12-2008 17:58,30,49,17,85,-3.9,1024.6,0,0,NE,1004.8,-6.1,-3.9,0,0,2.1,2.1,2.1,0,0
106,30-12-2008 18:28,30,50,17,85,-3.4,1024.9,0,0,N,1005.1,-5.6,-3.4,0,0,2.1,2.1,2.1,0,0
107,30-12-2008 18:58,30,51,16.7,85,-3.5,1024.9,0,0.3,SW,1005.1,-5.7,-3.5,0,0,2.1,2.1,2.1,0,1
108,30-12-2008 19:28,30,52,16.6,86,-2.8,1024.7,0,0,NE,1004.9,-4.8,-2.8,0,0,2.1,2.1,2.1,0,0
109,30-12-2008 19:58,30,52,16.6,85,-2.5,1024.5,0,0.7,N,1004.7,-4.7,-2.5,0,0,2.1,2.1,2.1,0,1
110,30-12-2008 20:28,30,53,16.7,85,-2.3,1024.9,0,0.7,SW,1005.1,-4.5,-2.3,0,0,2.1,2.1,2.1,0,1
111,30-12-2008 20:58,30,53,16.8,85,-1.9,1024.7,0,0,SW,1004.9,-4.1,-1.9,0,0,2.1,2.1,2.1,0,0
112,30-12-2008 21:28,30,53,16.8,85,-2.2,1024.7,0,0,NE,1004.9,-4.4,-2.2,0,0,2.1,2.1,2.1,0,0
113,30-12-2008 21:58,30,53,16.8,85,-2,1024.5,0,0,SW,1004.7,-4.2,-2,0,0,2.1,2.1,2.1,0,0
114,30-12-2008 22:28,30,53,16.7,85,-1.8,1024.3,0.3,0.7,NW,1004.5,-4,-1.8,0,0,2.1,2.1,2.1,1,1
115,30-12-2008 22:58,30,54,16.7,85,-1.7,1024.1,0,0,N,1004.3,-3.9,-1.7,0,0,2.1,2.1,2.1,0,0
116,30-12-2008 23:28,30,54,16.6,84,-1.5,1024,0,0.3,N,1004.2,-3.9,-1.5,0,0,2.1,2.1,2.1,0,1
117,30-12-2008 23:58,30,53,16.4,84,-1.6,1024.4,0,0,SW,1004.6,-4,-1.6,0,0,2.1,2.1,2.1,0,0
118,31-12-2008 00:28,30,53,16.1,83,-1.8,1024.4,0,0.7,SE,1004.6,-4.3,-1.8,0,0,2.1,2.1,2.1,0,1
119,31-12-2008 00:58,30,53,15.9,83,-2,1024.4,0,0.7,E,1004.6,-4.5,-2,0,0,2.1,2.1,2.1,0,1
120,31-12-2008 01:28,30,53,15.9,84,-2.1,1024.1,0.3,0.7,NE,1004.3,-4.4,-2.1,0,0,2.1,2.1,2.1,1,1
121,31-12-2008 01:58,30,53,16,83,-2,1024,0.3,1.4,NE,1004.2,-4.5,-2,0,0,2.1,2.1,2.1,1,1
122,31-12-2008 02:28,30,53,16,83,-2,1023.9,0,0.3,N,1004.1,-4.5,-2,0,0,2.1,2.1,2.1,0,1
123,31-12-2008 02:58,30,53,15.9,83,-2.1,1023.9,0,0.3,W,1004.1,-4.6,-2.1,0,0,2.1,2.1,2.1,0,1
124,31-12-2008 03:28,30,53,15.7,84,-2.1,1023.6,0.7,1.7,N,1003.8,-4.4,-2.1,0,0,2.1,2.1,2.1,1,2
125,31-12-2008 03:58,30,53,15.5,84,-2.3,1023.4,0.7,1.4,NNW,1003.6,-4.6,-2.3,0,0,2.1,2.1,2.1,1,1
126,31-12-2008 04:28,30,53,15.3,84,-2.5,1023.4,1,2,NE,1003.6,-4.8,-2.5,0,0,2.1,2.1,2.1,1,2
127,31-12-2008 04:58,30,53,15.2,84,-3,1023.6,1.4,2,NE,1003.8,-5.3,-3,0,0,2.1,2.1,2.1,1,2
128,31-12-2008 05:28,30,53,15,85,-3.1,1023.5,0,1,NE,1003.7,-5.3,-3.1,0,0,2.1,2.1,2.1,0,1
129,31-12-2008 05:58,30,53,14.8,85,-3.1,1023.5,0,0.3,NE,1003.7,-5.3,-3.1,0,0,2.1,2.1,2.1,0,1
130,31-12-2008 06:28,30,53,14.6,85,-3.4,1023.8,0,0.3,S,1004,-5.6,-3.4,0,0,2.1,2.1,2.1,0,1
131,31-12-2008 06:58,30,53,14.5,84,-3.6,1023.4,0,0,SE,1003.6,-5.9,-3.6,0,0,2.1,2.1,2.1,0,0
132,31-12-2008 07:28,30,53,14.5,85,-3.6,1023.4,0.3,1,NE,1003.6,-5.8,-3.6,0,0,2.1,2.1,2.1,1,1
133,31-12-2008 07:58,30,53,14.7,85,-3.5,1023.5,0,0,NE,1003.7,-5.7,-3.5,0,0,2.1,2.1,2.1,0,0
134,31-12-2008 08:28,30,53,15,85,-3.6,1023.5,0,0.3,SE,1003.7,-5.8,-3.6,0,0,2.1,2.1,2.1,0,1
135,31-12-2008 08:58,30,53,15.3,86,-3.7,1023.3,0.3,1.4,NEE,1003.5,-5.7,-3.7,0,0,2.1,2.1,2.1,1,1
136,31-12-2008 09:28,30,52,15.4,88,-4,1023,1.7,2.4,E,1003.2,-5.7,-4,0,0,2.1,2.1,2.1,2,2
137,31-12-2008 09:58,30,52,15.3,88,-4.3,1023.3,0,0.3,SE,1003.5,-6,-4.3,0,0,2.1,2.1,2.1,0,1
138,31-12-2008 10:28,30,52,15.1,88,-4,1023.5,0.3,1,SE,1003.7,-5.7,-4,0,0,2.1,2.1,2.1,1,1
139,31-12-2008 10:58,30,52,15,88,-3.5,1023.6,0,0.7,SW,1003.8,-5.2,-3.5,0,0,2.1,2.1,2.1,0,1
140,31-12-2008 11:28,30,53,15.1,87,-3.5,1023.5,0.7,1.4,NE,1003.7,-5.4,-3.5,0,0,2.1,2.1,2.1,1,1
141,31-12-2008 11:58,30,53,15,87,-3.5,1023.2,0,0,NW,1003.4,-5.4,-3.5,0,0,2.1,2.1,2.1,0,0
142,31-12-2008 12:28,30,53,15,86,-3.4,1022.8,0.3,1.4,NE,1003,-5.4,-3.4,0,0,2.1,2.1,2.1,1,1
143,31-12-2008 12:58,30,52,15.1,86,-3.3,1022.8,0.3,1,NE,1003,-5.3,-3.3,0,0,2.1,2.1,2.1,1,1
144,31-12-2008 13:28,30,52,15.1,86,-3.4,1022.7,0,0,W,1002.9,-5.4,-3.4,0,0,2.1,2.1,2.1,0,0
145,31-12-2008 13:58,30,52,14.9,86,-3.3,1022.5,0,0.3,W,1002.7,-5.3,-3.3,0,0,2.1,2.1,2.1,0,1
146,31-12-2008 14:28,30,52,14.7,87,-3.5,1022.6,0,0.3,S,1002.8,-5.4,-3.5,0,0,2.1,2.1,2.1,0,1
147,31-12-2008 14:58,30,52,14.5,87,-3.5,1022.9,0,0.3,SE,1003.1,-5.4,-3.5,0,0,2.1,2.1,2.1,0,1
148,31-12-2008 15:28,30,52,14.4,87,-3.6,1023,0,0.3,SE,1003.2,-5.5,-3.6,0,0,2.1,2.1,2.1,0,1
149,31-12-2008 15:58,30,52,14.4,88,-3.7,1023,0,0.3,SE,1003.2,-5.4,-3.7,0,0,2.1,2.1,2.1,0,1
150,31-12-2008 16:29,31,52,14.4,88,-3.8,1023,0,0.7,N,1003.2,-5.5,-3.8,0,0,2.1,2.1,2.1,0,1
151,31-12-2008 16:59,30,53,14.4,89,-3.7,1022.8,0,0,NE,1003,-5.3,-3.7,0,0,2.1,2.1,2.1,0,0
152,31-12-2008 17:29,30,53,14.6,89,-3.6,1022.8,0.7,1.4,NE,1003,-5.2,-3.6,0,0,2.1,2.1,2.1,1,1
153,31-12-2008 17:59,30,52,14.9,88,-3.9,1022.5,0.7,1.4,NE,1002.7,-5.6,-3.9,0,0,2.1,2.1,2.1,1,1
154,31-12-2008 18:29,30,53,15.5,88,-4.1,1022.4,0,0.3,NE,1002.6,-5.8,-4.1,0,0,2.1,2.1,2.1,0,1
155,31-12-2008 18:59,30,54,16.1,88,-4.9,1022.3,0,0,W,1002.5,-6.6,-4.9,0,0,2.1,2.1,2.1,0,0
156,31-12-2008 19:29,30,53,16.5,88,-5.4,1022.3,0,0.3,W,1002.5,-7.1,-5.4,0,0,2.1,2.1,2.1,0,1
157,31-12-2008 19:59,30,53,16.7,88,-5.9,1022.5,0,0,SE,1002.7,-7.6,-5.9,0,0,2.1,2.1,2.1,0,0
158,31-12-2008 20:29,30,53,16.7,88,-5.8,1022.6,0,0,NE,1002.8,-7.5,-5.8,0,0,2.1,2.1,2.1,0,0
159,31-12-2008 20:59,30,53,16.7,88,-4.9,1023.2,0.3,0.7,NE,1003.4,-6.6,-4.9,0,0,2.1,2.1,2.1,1,1
160,31-12-2008 21:29,30,53,16.7,88,-4.8,1023.6,0,0.7,N,1003.8,-6.5,-4.8,0,0,2.1,2.1,2.1,0,1
161,31-12-2008 21:59,30,53,16.7,87,-5.2,1023.7,1,1.7,NE,1003.9,-7,-5.2,0,0,2.1,2.1,2.1,1,2
162,31-12-2008 22:29,30,52,16.7,87,-5.5,1024,0,0.3,N,1004.2,-7.3,-5.5,0,0,2.1,2.1,2.1,0,1
163,31-12-2008 22:59,30,53,16.5,87,-5.2,1024.2,0.7,1.4,N,1004.4,-7,-5.2,0,0,2.1,2.1,2.1,1,1
164,31-12-2008 23:29,30,53,16.3,87,-5,1024.2,0,0.7,NE,1004.4,-6.8,-5,0,0,2.1,2.1,2.1,0,1
165,31-12-2008 23:59,30,53,16.2,87,-6,1024.2,0.3,1,NE,1004.4,-7.8,-6,0,0,2.1,2.1,2.1,1,1
166,01-01-2009 00:29,30,52,16,87,-6.3,1024.4,0.3,0.7,NEE,1004.6,-8.1,-6.3,0,0,2.1,2.1,2.1,1,1
167,01-01-2009 00:59,30,52,15.9,87,-6.5,1024.3,0,0.7,NE,1004.5,-8.3,-6.5,0,0,2.1,2.1,2.1,0,1
168,01-01-2009 01:29,30,52,15.7,87,-6.5,1024.4,0,0.3,NE,1004.6,-8.3,-6.5,0,0,2.1,2.1,2.1,0,1
169,01-01-2009 01:59,30,53,15.6,86,-7,1024.2,0,0.3,N,1004.4,-9,-7,0,0,2.1,2.1,2.1,0,1
170,01-01-2009 02:29,30,53,15.4,86,-7.5,1024.4,0,0.7,N,1004.6,-9.4,-7.5,0,0,2.1,2.1,2.1,0,1
171,01-01-2009 02:59,30,52,15.3,86,-7.6,1024.3,0,0.3,NNE,1004.5,-9.5,-7.6,0,0,2.1,2.1,2.1,0,1
172,01-01-2009 03:29,30,52,15.1,86,-7.4,1024.4,0,0.7,N,1004.6,-9.4,-7.4,0,0,2.1,2.1,2.1,0,1
173,01-01-2009 03:59,30,52,15,86,-7.3,1024.4,0,0.3,NE,1004.6,-9.3,-7.3,0,0,2.1,2.1,2.1,0,1
174,01-01-2009 04:29,30,52,14.9,87,-7,1024.8,0,0,N,1005,-8.8,-7,0,0,2.1,2.1,2.1,0,0
175,01-01-2009 04:59,30,52,14.8,86,-7,1024.8,0,0.3,N,1005,-9,-7,0,0,2.1,2.1,2.1,0,1
176,01-01-2009 05:29,30,52,14.7,86,-7,1024.8,0,0,SW,1005,-9,-7,0,0,2.1,2.1,2.1,0,0
177,01-01-2009 05:59,30,52,14.5,86,-7,1024.8,0,0,N,1005,-9,-7,0,0,2.1,2.1,2.1,0,0
178,01-01-2009 06:29,30,52,14.4,86,-7.3,1024.8,0,0.3,SW,1005,-9.3,-7.3,0,0,2.1,2.1,2.1,0,1
179,01-01-2009 06:59,30,51,14.3,86,-7.2,1024.8,0,0,NW,1005,-9.2,-7.2,0,0,2.1,2.1,2.1,0,0
180,01-01-2009 07:29,30,52,14.3,86,-7.1,1025.1,0,0,N,1005.3,-9.1,-7.1,0,0,2.1,2.1,2.1,0,0
181,01-01-2009 07:59,30,52,14.4,86,-7.4,1025.2,0,0.7,SSW,1005.4,-9.4,-7.4,0,0,2.1,2.1,2.1,0,1
